AC,CB,G,MnO2,Pour Density,Surface Area,Dry Conductivity,Electrolye Uptake,Water Uptake,Voltage Drop,Cell Resistance,Wet Conductivity,Max Current,Capacity
39,39,22,80,0.886703023,80.01286,0.243819366,19.61290323,20.97560976,0.042068941,20.4186919,2.130286211,7.312794118,5.64
6,7,87,80,0.744139302,46.34436,0.553907602,17.41233374,21.80595581,0.038685753,23.86952184,1.672432315,8.335441176,3.69
54,5,41,80,0.86935,88.77668,0.097019189,27.45376956,26.5625,0.083484104,75.75749035,0.535527735,3.131911765,4.615
3,36,61,80,0.785179535,47.58238,0.732222787,14.50381679,19.31914894,0.030486083,8.732804178,4.544077581,11.18191176,5.6175
30,70,0,80,0.915053488,76.1826,0.632911924,18.70100784,19.38046068,0.021207407,5.284799344,6.952429013,15.18044118,7.125
100,0,0,80,0.984125581,129.0256,0.018843742,29.08680947,37.3502994,0.3119075,868.0670622,0.041176626,0.575,0.61
0,100,0,80,0.885451163,53.5356,1.150285708,21.90942472,22.13570634,0.019455561,5.624005417,7.693205714,18.31720588,12.425
0,0,100,80,0.716218605,40.0636,0.424388502,16.70281996,27.67605634,0.129936769,303.8023405,0.198507416,4.997058824,1.925
0,50,50,80,0.800834884,46.7996,0.990469739,12.80487805,16.95652174,0.032660858,13.06966411,4.141749005,10.89617647,3.48
20,60,20,80,0.871339535,65.9392,0.716875287,15.90457256,18.19066148,0.036658427,22.26671753,2.129701342,8.652941176,5.685
22,20,58,80,0.809004651,62.32964,0.379107025,18.33976834,20,0.042003793,15.85416868,3.099112875,7.317205882,3.9175
0,70,30,80,0.834681395,49.494,1.689218093,14.88033299,16.46811493,0.015875835,3.781582883,9.965687958,21.88117647,13.54
0,30,70,80,0.766988372,44.1052,1.049428723,15.58823529,16.84470008,0.023684342,5.256384714,7.480627573,14.3872549,6.75
33.33,33.33,33.33,0,0.519219391,49.06176,0.951415809,15.11254019,31.42857143,0.092660208,109.7023588,0.919083255,2.415735294,0.27
70,0,30,0,0.561093023,77.1954,0.09950023,30,47.76119403,0.136482702,213.4175364,0.541557603,1.109705882,0.01
